qmof-07ae0e9,3.8705
qmof-c0771c3,3.48051
qmof-fc0e787,5.67656
qmof-e3caa7b,4.2307
qmof-f8c8bd4,6.82444
qmof-dbcabd3,4.13012
qmof-def4cfb,3.30499
qmof-bcd74e7,3.05285
qmof-6c3e399,4.45617
qmof-e39683b,3.10131
qmof-e16b9a1,4.43284
qmof-9e34535,3.617
qmof-3396210,5.03542
qmof-4050181,5.06646
qmof-232c7dc,4.36295
qmof-a95c660,6.29737
qmof-61e9a8c,6.39726
qmof-f5f710d,3.8413
qmof-0b7afa6,3.64396
qmof-0944bb7,3.26321
qmof-40ada08,5.12358
qmof-22902e7,3.29847
qmof-f815bf7,4.3779
qmof-4995df0,4.24609
qmof-99f4447,4.73301
qmof-9074759,7.02964
qmof-9bfb63d,3.08432
qmof-fc8dd71,5.66854
qmof-985a6f6,4.22383
qmof-380359a,8.18194
qmof-a4260ff,4.33741
qmof-3742f27,6.80421
qmof-dc65042,5.17704
qmof-f43bf7e,5.57875
qmof-0036445,5.19822
qmof-447554f,6.38802
qmof-95b134a,6.342
qmof-989c153,5.05165
qmof-4f499e6,4.82822
qmof-1f33604,3.19215
qmof-7833495,3.5383
qmof-1656ec0,3.85532
qmof-ad9b461,7.0968
qmof-35a415f,4.51032
qmof-e56b9af,5.39361
qmof-e51b7be,4.20118
qmof-c947dd6,5.33859
qmof-e128553,6.09281
qmof-977a187,6.16756
qmof-6d61160,3.2242
qmof-073a0d6,3.20008
qmof-ad7387b,1.88557
qmof-6fcc83e,1.78673
qmof-0d8afa2,1.31924
qmof-094542b,1.98038
qmof-8470cd1,4.57013
qmof-26b83f7,3.57034
qmof-da6d484,3.65392
qmof-f8e9ee1,4.35789
qmof-0691242,4.07778
qmof-2edacf2,7.17858
qmof-e54494c,4.407
qmof-1478a84,6.23613
qmof-47e87b6,5.44884
qmof-bb9be5b,6.43175
qmof-54a157d,5.76807
qmof-3f33bff,6.92882
qmof-ae0f40c,7.45652
qmof-75e182b,3.2793
qmof-7ef70ec,4.13382
qmof-82fce8b,4.72897
qmof-84c5c07,4.81807
qmof-ff1d9b8,3.81318
qmof-2084a97,2.63097
qmof-362033d,6.37308
qmof-c2bf5bb,5.17524
qmof-432f5fb,3.5615
qmof-663129a,1.25082
qmof-2e9916d,6.03722
qmof-6a0abd0,4.37033
qmof-185e359,7.27572
qmof-24e5993,6.64064
qmof-a4ff7f7,4.95417
qmof-f7a818d,6.39637
qmof-a57e16b,6.49506
qmof-d690c9a,2.16298
qmof-4084077,5.35007
qmof-c18cdd5,6.24906
qmof-ecd4c56,6.19638
qmof-eeac529,6.2331
qmof-c579bff,6.26056
qmof-dd788d7,4.37179
qmof-6923e32,4.28201
qmof-25e06cf,5.18776
qmof-2e4202b,3.87318
qmof-963616d,4.08025
qmof-74662f0,5.46067
qmof-6651c5d,3.89676
qmof-e09dfa4,4.12689
qmof-7ff9d4f,3.10734
qmof-0b83e38,2.25387
qmof-008776a,4.54823
qmof-3c9f875,4.97746
qmof-d9f5423,4.78234
qmof-6524f20,4.44711
qmof-906b305,2.93114
qmof-9383c98,3.40496
qmof-5697fd8,5.43391
qmof-1d3530d,4.82728
qmof-02cdf5a,6.46384
qmof-270f527,4.25082
qmof-0eba9d1,5.24852
qmof-a19fb5f,4.2905
qmof-788acd1,5.20172
qmof-9b147f7,2.75484
qmof-be99418,4.09996
qmof-6868cb6,3.36005
qmof-361e7d5,5.09077
qmof-cd3e104,4.07717
qmof-e5b6a13,3.39864
